summary_line,timestamp,src_ip,dst_ip,ttl,length,protocol_num,protocol,src_port,dst_port,seq,ack,flags,window,protocol_info,security,qos,performance,summary
192.168.0.5:57017 -> 142.251.135.170:443 Proto: TCP,2025-05-11 21:48:25.246069,192.168.0.5,142.251.135.170,128,41,6,TCP,57017,443,3214836432,66410135,{'ACK': True},252,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 55, 'header_overhead': 40}",TCP 192.168.0.5:57017 -> 142.251.135.170:443 [A]
142.251.135.170:443 -> 192.168.0.5:57017 Proto: TCP,2025-05-11 21:48:25.249118,142.251.135.170,192.168.0.5,124,52,6,TCP,443,57017,66410135,3214836433,{'ACK': True},1050,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 66, 'header_overhead': 40}",TCP 142.251.135.170:443 -> 192.168.0.5:57017 [A]
142.251.132.174:443 -> 192.168.0.5:56916 Proto: TCP,2025-05-11 21:48:25.946554,142.251.132.174,192.168.0.5,124,326,6,TCP,443,56916,136200309,1781099398,"{'PSH': True, 'ACK': True}",553,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 340, 'header_overhead': 40}",TCP 142.251.132.174:443 -> 192.168.0.5:56916 [PA]
142.251.132.174:443 -> 192.168.0.5:56916 Proto: TCP,2025-05-11 21:48:25.946554,142.251.132.174,192.168.0.5,124,71,6,TCP,443,56916,136200595,1781099398,"{'PSH': True, 'ACK': True}",553,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 85, 'header_overhead': 40}",TCP 142.251.132.174:443 -> 192.168.0.5:56916 [PA]
192.168.0.5:56916 -> 142.251.132.174:443 Proto: TCP,2025-05-11 21:48:25.947070,192.168.0.5,142.251.132.174,128,40,6,TCP,56916,443,1781099398,136200626,{'ACK': True},255,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 54, 'header_overhead': 40}",TCP 192.168.0.5:56916 -> 142.251.132.174:443 [A]
142.251.132.174:443 -> 192.168.0.5:56916 Proto: TCP,2025-05-11 21:48:25.947070,142.251.132.174,192.168.0.5,124,79,6,TCP,443,56916,136200626,1781099398,"{'PSH': True, 'ACK': True}",553,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 93, 'header_overhead': 40}",TCP 142.251.132.174:443 -> 192.168.0.5:56916 [PA]
192.168.0.5:56916 -> 142.251.132.174:443 Proto: TCP,2025-05-11 21:48:25.947575,192.168.0.5,142.251.132.174,128,75,6,TCP,56916,443,1781099398,136200665,"{'PSH': True, 'ACK': True}",255,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 89, 'header_overhead': 40}",TCP 192.168.0.5:56916 -> 142.251.132.174:443 [PA]
192.168.0.5:56916 -> 142.251.132.174:443 Proto: TCP,2025-05-11 21:48:25.947575,192.168.0.5,142.251.132.174,128,79,6,TCP,56916,443,1781099433,136200665,"{'PSH': True, 'ACK': True}",255,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 93, 'header_overhead': 40}",TCP 192.168.0.5:56916 -> 142.251.132.174:443 [PA]
142.251.132.174:443 -> 192.168.0.5:56916 Proto: TCP,2025-05-11 21:48:25.947575,142.251.132.174,192.168.0.5,124,40,6,TCP,443,56916,136200665,1781099433,{'ACK': True},553,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 60, 'header_overhead': 40}",TCP 142.251.132.174:443 -> 192.168.0.5:56916 [A]
142.251.132.174:443 -> 192.168.0.5:56916 Proto: TCP,2025-05-11 21:48:25.947575,142.251.132.174,192.168.0.5,124,40,6,TCP,443,56916,136200665,1781099472,{'ACK': True},553,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 60, 'header_overhead': 40}",TCP 142.251.132.174:443 -> 192.168.0.5:56916 [A]
